"","geoid","county","county.1","total_population"
"0","05000US47013","campbell","campbell",27710
"1","05000US47089","jefferson","jefferson",45280
"2","05000US47175","van","van",3180
"3","05000US47085","humphreys","humphreys",15830
"4","05000US47127","moore","moore",2840
"5","05000US47181","wayne","wayne",11900
"6","05000US47021","cheatham","cheatham",36380
"7","05000US47141","putnam","putnam",70455
"8","05000US47183","weakley","weakley",23837
"9","05000US47109","mcnairy","mcnairy",23090
"10","05000US47115","marion","marion",22570
"11","05000US47161","stewart","stewart",11360
"12","05000US47173","union","union",12330
"13","05000US47023","chester","chester",11860
"14","05000US47061","grundy","grundy",11940
"15","05000US47029","cocke","cocke",29578
"16","05000US47001","anderson","anderson",64931
"17","05000US47063","hamblen","hamblen",60994
"18","05000US47033","crockett","crockett",12935
"19","05000US47155","sevier","sevier",90103
"20","05000US47071","hardin","hardin",19115
"21","05000US47041","dekalb","dekalb",16620
"22","05000US47139","polk","polk",14833
"23","05000US47015","cannon","cannon",12050
"24","05000US47133","overton","overton",15194
"25","05000US47135","perry","perry",6210
"26","05000US47077","henderson","henderson",23440
"27","05000US47157","shelby","shelby",874585
"28","05000US47053","gibson","gibson",47988
"29","05000US47081","hickman","hickman",19180
"30","05000US47095","lake","lake",4515
"31","05000US47019","carter","carter",35497
"32","05000US47059","greene","greene",54717
"33","05000US47129","morgan","morgan",11954
"34","05000US47009","blount","blount",106944
"35","05000US47027","clay","clay",4180
"36","05000US47051","franklin","franklin",31878
"37","05000US47107","mcminn","mcminn",42189
"38","05000US47007","bledsoe","bledsoe",7280
"39","05000US47179","washington","washington",113112
"40","05000US47079","henry","henry",26462
"41","05000US47137","pickett","pickett",4020
"42","05000US47113","madison","madison",83760
"43","05000US47091","johnson","johnson",13050
"44","05000US47125","montgomery","montgomery",169464
"45","05000US47099","lawrence","lawrence",35920
"46","05000US47103","lincoln","lincoln",30420
"47","05000US47171","unicoi","unicoi",14320
"48","05000US47073","hawkins","hawkins",44590
"49","05000US47101","lewis","lewis",8280
"50","05000US47043","dickson","dickson",46039
"51","05000US47047","fayette","fayette",33315
"52","05000US47123","monroe","monroe",37590
"53","05000US47031","coffee","coffee",52398
"54","05000US47039","decatur","decatur",8300
"55","05000US47045","dyer","dyer",32297
"56","05000US47093","knox","knox",387397
"57","05000US47159","smith","smith",15500
"58","05000US47003","bedford","bedford",42645
"59","05000US47025","claiborne","claiborne",26209
"60","05000US47153","sequatchie","sequatchie",10060
"61","05000US47117","marshall","marshall",27840
"62","05000US47163","sullivan","sullivan",136490
"63","05000US47121","meigs","meigs",9750
"64","05000US47185","white","white",22670
"65","05000US47131","obion","obion",26466
"66","05000US47069","hardeman","hardeman",20520
"67","05000US47017","carroll","carroll",25734
"68","05000US47049","fentress","fentress",12790
"69","05000US47111","macon","macon",16380
"70","05000US47057","grainger","grainger",19550
"71","05000US47067","hancock","hancock",4010
"72","05000US47005","benton","benton",13050
"73","05000US47147","robertson","robertson",66993
"74","05000US47083","houston","houston",6750
"75","05000US47055","giles","giles",23948
"76","05000US47065","hamilton","hamilton",314435
"77","05000US47097","lauderdale","lauderdale",21040
"78","05000US47151","scott","scott",17927
"79","05000US47087","jackson","jackson",6860
"80","05000US47143","rhea","rhea",29760
"81","05000US47189","wilson","wilson",112290
"82","05000US47119","maury","maury",66162
"83","05000US47145","roane","roane",45070
"84","05000US47187","williamson","williamson",233495
"85","05000US47177","warren","warren",36558
"86","05000US47149","rutherford","rutherford",262628
"87","05000US47035","cumberland","cumberland",46689
"88","05000US47075","haywood","haywood",14720
"89","05000US47167","tipton","tipton",53561
"90","05000US47011","bradley","bradley",95670
"91","05000US47169","trousdale","trousdale",6070
"92","05000US47105","loudon","loudon",52510
"93","05000US47165","sumner","sumner",149190
"94","05000US47037","davidson","davidson",615632
