"","county","total_population","geoid"
"1","anderson",64931,"05000US47001"
"2","bedford",42645,"05000US47003"
"3","benton",13050,"05000US47005"
"4","bledsoe",7280,"05000US47007"
"5","blount",106944,"05000US47009"
"6","bradley",95670,"05000US47011"
"7","campbell",27710,"05000US47013"
"8","cannon",12050,"05000US47015"
"9","carroll",25734,"05000US47017"
"10","carter",35497,"05000US47019"
"11","cheatham",36380,"05000US47021"
"12","chester",11860,"05000US47023"
"13","claiborne",26209,"05000US47025"
"14","clay",4180,"05000US47027"
"15","cocke",29578,"05000US47029"
"16","coffee",52398,"05000US47031"
"17","crockett",12935,"05000US47033"
"18","cumberland",46689,"05000US47035"
"19","davidson",615632,"05000US47037"
"20","decatur",8300,"05000US47039"
"21","dekalb",16620,"05000US47041"
"22","dickson",46039,"05000US47043"
"23","dyer",32297,"05000US47045"
"24","fayette",33315,"05000US47047"
"25","fentress",12790,"05000US47049"
"26","franklin",31878,"05000US47051"
"27","gibson",47988,"05000US47053"
"28","giles",23948,"05000US47055"
"29","grainger",19550,"05000US47057"
"30","greene",54717,"05000US47059"
"31","grundy",11940,"05000US47061"
"32","hamblen",60994,"05000US47063"
"33","hamilton",314435,"05000US47065"
"34","hancock",4010,"05000US47067"
"35","hardeman",20520,"05000US47069"
"36","hardin",19115,"05000US47071"
"37","hawkins",44590,"05000US47073"
"38","haywood",14720,"05000US47075"
"39","henderson",23440,"05000US47077"
"40","henry",26462,"05000US47079"
"41","hickman",19180,"05000US47081"
"42","houston",6750,"05000US47083"
"43","humphreys",15830,"05000US47085"
"44","jackson",6860,"05000US47087"
"45","jefferson",45280,"05000US47089"
"46","johnson",13050,"05000US47091"
"47","knox",387397,"05000US47093"
"48","lake",4515,"05000US47095"
"49","lauderdale",21040,"05000US47097"
"50","lawrence",35920,"05000US47099"
"51","lewis",8280,"05000US47101"
"52","lincoln",30420,"05000US47103"
"53","loudon",52510,"05000US47105"
"54","macon",16380,"05000US47111"
"55","madison",83760,"05000US47113"
"56","marion",22570,"05000US47115"
"57","marshall",27840,"05000US47117"
"58","maury",66162,"05000US47119"
"59","mcminn",42189,"05000US47107"
"60","mcnairy",23090,"05000US47109"
"61","meigs",9750,"05000US47121"
"62","monroe",37590,"05000US47123"
"63","montgomery",169464,"05000US47125"
"64","moore",2840,"05000US47127"
"65","morgan",11954,"05000US47129"
"66","obion",26466,"05000US47131"
"67","overton",15194,"05000US47133"
"68","perry",6210,"05000US47135"
"69","pickett",4020,"05000US47137"
"70","polk",14833,"05000US47139"
"71","putnam",70455,"05000US47141"
"72","rhea",29760,"05000US47143"
"73","roane",45070,"05000US47145"
"74","robertson",66993,"05000US47147"
"75","rutherford",262628,"05000US47149"
"76","scott",17927,"05000US47151"
"77","sequatchie",10060,"05000US47153"
"78","sevier",90103,"05000US47155"
"79","shelby",874585,"05000US47157"
"80","smith",15500,"05000US47159"
"81","stewart",11360,"05000US47161"
"82","sullivan",136490,"05000US47163"
"83","sumner",149190,"05000US47165"
"84","tipton",53561,"05000US47167"
"85","trousdale",6070,"05000US47169"
"86","unicoi",14320,"05000US47171"
"87","union",12330,"05000US47173"
"88","van",3180,"05000US47175"
"89","warren",36558,"05000US47177"
"90","washington",113112,"05000US47179"
"91","wayne",11900,"05000US47181"
"92","weakley",23837,"05000US47183"
"93","white",22670,"05000US47185"
"94","williamson",233495,"05000US47187"
"95","wilson",112290,"05000US47189"
